294	Imagine That	2009	6	tt0780567	19724	107	PG	55000000	5.6	40	52
295	Get Low	2010	7	tt1194263	44718	103	PG-13	7500000	7.0	85	318
296	The Informant!	2009	9	tt1130080	11323	108	R	22000000	6.4	79	241
297	Cheri	2009	2	tt1179258	22215	86	R	23000000	6.2	51	2
298	Cracks	2009	12	tt1183665	35052	104	R	0	6.7	43	8
299	Labor Pains	2009	7	tt1231287	19794	89	PG-13	10000000	4.8	0	30
300	World's Greatest Dad	2009	8	tt1262981	20178	99	R	10000000	6.9	88	2
301	Miss March	2009	3	tt1151922	19556	89	R	0	5.0	5	86
302	Cell 211	2009	11	tt1242422	33273	110	N/A	5700000	7.6	98	66
303	Nativity!	2009	11	tt1242447	49522	105	PG	0	6.4	48	52
304	Tetro	2009	6	tt0964185	11928	127	R	5000000	6.8	71	17
305	Book of Blood	2009	3	tt1169809	19599	96	R	0	5.3	80	103
306	Cherrybomb	2009	2	tt1248971	40850	86	Not Rated	0	6.0	42	99
307	Shorts	2009	8	tt1100119	25132	89	PG	40000000	4.7	46	42
308	The Goods: Live Hard, Sell Hard	2009	5	tt1092633	19905	90	R	10000000	5.8	27	30
309	Did You Hear About the Morgans?	2009	12	tt1314228	24438	103	PG-13	58000000	4.8	11	30
310	The Disappearance of Alice Creed	2009	9	tt1379177	38542	100	R	800000	6.7	81	54
311	Everybody's Fine	2009	12	tt0780511	26171	99	PG-13	21000000	7.1	48	17
312	Redline	2009	8	tt1483797	71883	102	Not Rated	0	7.5	67	13
313	Fighting	2009	4	tt1082601	17336	105	PG-13	0	5.6	40	183
314	Defendor	2009	9	tt1303828	34769	101	R	3500000	6.8	74	120
315	Offspring	2009	2	tt1262413	24868	79	R	0	4.8	20	21
316	Ninja	2009	10	tt1182921	25602	83	R	10000000	5.5	29	204
317	From Beginning to End	2009	11	tt1440741	44125	105	Not Rated	0	6.6	43	15
318	Wake Up Sid	2009	10	tt1324059	21297	138	PG	3000000	7.6	75	2
319	Lesbian Vampire Killers	2009	3	tt1020885	18238	86	R	0	5.1	28	34
320	The Pink Panther 2	2009	2	tt0838232	15159	92	PG	0	5.6	13	319
321	My Suicide	2009	2	tt0492896	81434	107	Not Rated	2000000	7.1	57	4
322	The Tournament	2009	5	tt0471041	24056	95	R	8000000	6.1	40	145
324	[REC]²	2009	9	tt1245112	10664	85	R	5600000	6.5	68	22
325	From Time to Time	2010	9	tt1031241	49391	95	PG	0	6.7	43	209
326	I Hope They Serve Beer in Hell	2009	9	tt1220628	30128	106	R	7000000	5.3	20	30
327	The Slammin' Salmon	2009	12	tt1135525	34423	90	R	0	6.4	35	30
328	Universal Soldier: Regeneration	2009	10	tt1288403	28510	97	R	14000000	5.2	34	284
329	13B	2009	3	tt1385824	19950	137	Not Rated	0	7.2	100	65
330	Amelia	2009	10	tt1129445	8915	111	PG	40000000	5.8	20	76
331	New in Town	2009	1	tt1095174	14536	97	PG	8000000	5.6	28	86
332	Boogie Woogie	2009	6	tt1134664	36939	94	R	6000000	5.2	33	4
333	Dev.D	2009	2	tt1327035	15977	144	Not Rated	1700000	8.0	84	2
334	Summer Wars	2009	8	tt1474276	28874	114	PG	0	7.5	78	320
335	Castaway on the Moon	2009	5	tt1499666	18438	119	PG-13	0	8.1	93	2
336	Taking Woodstock	2009	8	tt1127896	26320	120	R	0	6.7	49	172
337	Madea Goes to Jail	2009	2	tt1142800	15670	103	PG-13	0	4.5	29	241
338	District 13: Ultimatum	2009	2	tt1247640	15357	101	R	15000000	6.5	74	19
339	12 Rounds	2009	3	tt1160368	17134	108	PG-13	20000000	5.6	30	19
340	Powder Blue	2009	5	tt1032819	17740	106	R	0	6.3	25	17
341	The Limits of Control	2009	5	tt1135092	8284	116	R	0	6.3	42	130
342	Grotesque	2009	1	tt1352369	27297	73	Not Rated	0	4.7	30	22
343	Daniel & Ana	2009	5	tt1392888	112631	90	Not Rated	0	6.1	56	18
344	Ink	2009	1	tt1071804	24869	106	Not Rated	250000	6.9	100	69
